Mon Jan 20 10:26:49 2020 Info: File has been loaded successfully 
Mon Jan 20 10:26:49 2020 Info: File input mode had been enabled 
Mon Jan 20 10:26:51 2020 Info: Grayscale conversion has been disabled 
Mon Jan 20 10:26:52 2020 Info: Grayscale conversion has been enabled 
Mon Jan 20 10:26:52 2020 Info: Grayscale conversion has been disabled 
Mon Jan 20 10:26:53 2020 Info: Contrast has been set to 1.02
Mon Jan 20 10:26:53 2020 Info: Contrast has been set to 1.03
Mon Jan 20 10:26:53 2020 Info: Contrast has been set to 1.06
Mon Jan 20 10:26:53 2020 Info: Contrast has been set to 1.12
Mon Jan 20 10:26:53 2020 Info: Contrast has been set to 1.2
Mon Jan 20 10:26:53 2020 Info: Contrast has been set to 1.25
Mon Jan 20 10:26:53 2020 Info: Contrast has been set to 1.27
Mon Jan 20 10:26:53 2020 Info: Contrast has been set to 1.29
Mon Jan 20 10:26:53 2020 Info: Contrast has been set to 1.31
Mon Jan 20 10:26:53 2020 Info: Contrast has been set to 1.32
Mon Jan 20 10:26:53 2020 Info: Contrast has been set to 1.34
Mon Jan 20 10:26:53 2020 Info: Contrast has been set to 1.35
Mon Jan 20 10:26:53 2020 Info: Contrast has been set to 1.36
Mon Jan 20 10:26:53 2020 Info: Contrast has been set to 1.38
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.4
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.41
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.42
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.43
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.44
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.45
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.46
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.47
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.48
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.49
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.5
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.51
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.52
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.53
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.55
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.57
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.58
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.61
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.62
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.63
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.64
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.66
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.67
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.68
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.69
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.7
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.71
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.72
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.73
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.74
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.76
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.81
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.87
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.96
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 1.99
Mon Jan 20 10:26:54 2020 Info: Contrast has been set to 2
Mon Jan 20 10:26:55 2020 Info: Contrast has been set to 1.93
